age,workclass,educationyears,maritalstatus,occupation,relationship,race,sex,hoursperweek,incomeUSD
48,5,10,5,5,1,5,2,40,42306
32,5,4,5,4,1,5,2,40,39587
51,5,9,5,4,1,5,2,40,183878
27,1,13,1,1,2,5,2,40,49724
19,5,10,5,9,4,5,2,14,26577
47,5,9,5,11,1,5,2,50,27665
25,5,13,5,15,4,5,2,60,46312
72,5,10,5,12,1,3,2,40,23289
29,5,7,5,4,2,5,2,40,41973
22,5,9,5,2,4,5,1,40,29422
57,5,9,5,9,1,3,2,48,20239
50,5,12,5,2,1,5,2,60,34082
45,6,10,6,13,1,5,2,30,28820
52,5,10,5,11,2,5,2,40,104732
53,5,14,5,5,1,5,2,48,58973
36,5,9,5,7,1,5,2,48,44915
46,5,9,5,4,1,5,2,40,66769
20,5,9,5,13,4,5,1,20,30242
75,5,3,5,9,5,3,2,10,39092
32,3,9,3,4,1,5,2,40,69215
28,5,9,5,4,1,5,2,40,37678
53,5,14,5,11,2,5,1,40,47373
17,5,7,5,13,4,5,1,35,20716
46,8,11,8,2,5,5,1,38,27023
39,5,12,5,11,2,5,1,30,32350
38,5,10,5,4,5,5,2,40,29065
36,5,9,5,8,1,5,2,60,41075
63,3,13,3,11,2,3,1,21,25342
28,5,2,5,8,1,5,2,43,38057
28,1,13,1,1,4,5,2,45,34419
49,5,9,5,2,5,5,1,35,38759
43,5,10,5,8,1,5,2,40,44209
38,5,13,5,5,1,5,2,45,99135
39,5,9,5,14,2,5,2,62,22324
42,1,9,1,1,2,3,1,40,37552
40,5,9,5,5,1,5,2,40,40701
45,1,9,1,1,5,5,1,10,24289
29,1,9,1,1,5,5,1,40,22639
24,2,13,2,11,2,5,2,45,35037
30,5,10,5,14,1,5,2,50,121989
44,5,10,5,15,1,3,2,40,40536
40,5,9,5,13,1,5,2,24,32280
30,5,9,5,8,3,5,1,35,25759
42,5,14,5,11,2,5,1,40,27187
52,7,11,7,11,2,5,1,35,20844
42,5,10,5,4,1,3,2,40,152326
39,5,10,5,4,1,5,2,52,147944
43,5,10,5,11,5,5,2,45,21851
62,7,9,7,4,1,5,2,40,31122
30,5,11,5,4,1,5,2,40,25548
83,1,9,1,1,2,5,1,20,24590
39,5,13,5,11,1,5,2,55,50481
41,5,9,5,15,6,5,1,20,47304
49,5,14,5,11,6,5,1,40,96305
25,5,7,5,4,1,5,2,40,29876
48,5,7,5,15,1,5,2,40,43629
59,1,12,1,1,2,5,2,8,41103
44,8,13,8,2,2,5,2,40,39888
36,5,5,5,7,2,5,2,56,42719
40,5,9,5,7,4,5,2,40,27307
21,5,9,5,2,4,3,1,35,45333
41,5,10,5,2,2,5,1,38,24535
24,5,13,5,5,2,5,1,50,45415
67,7,9,7,6,1,5,2,60,26856
24,5,13,5,2,4,5,2,38,41928
50,7,13,7,13,1,5,2,60,30847
48,5,14,5,13,2,5,2,35,41026
55,1,12,1,1,1,3,2,20,163611
29,5,9,5,8,2,5,2,40,33168
50,5,13,5,11,5,5,1,36,42280
64,8,6,8,5,1,5,2,40,101249
49,5,5,5,9,2,3,2,37,23720
20,5,9,5,9,4,3,2,52,37057
30,5,9,5,2,2,5,1,40,43797
37,5,13,5,9,1,2,2,30,39682
52,5,9,5,8,1,5,2,40,133627
22,5,10,5,12,4,5,2,25,21423
77,1,9,1,1,2,5,1,14,43097
19,8,10,8,2,4,5,2,15,35066
52,5,9,5,4,3,5,2,55,166516
42,5,13,5,14,4,2,1,40,22472
35,5,9,5,5,2,5,1,36,32083
27,5,10,5,2,5,5,1,50,39461
54,8,9,8,9,2,3,1,38,29154
37,5,9,5,4,1,5,2,40,30101
37,5,6,5,15,1,5,2,35,34120
28,5,4,5,4,1,5,2,30,41335
63,5,13,5,13,1,5,2,40,36478
19,5,9,5,8,4,5,2,42,44095
28,5,13,5,13,4,5,1,40,26818
23,1,10,1,1,2,5,2,40,47538
44,5,15,5,11,2,5,1,40,188325
31,5,10,5,4,1,5,2,40,89544
35,5,13,5,13,2,2,2,50,77577
64,5,9,5,10,2,5,1,50,32012
40,5,9,5,7,1,5,2,40,194654
59,3,12,3,11,2,5,1,50,25709
22,5,10,5,2,4,5,1,40,23737
40,5,10,5,13,2,5,1,44,29964
35,5,4,5,7,1,5,2,40,33658
20,5,10,5,2,4,5,1,15,21158
35,3,9,3,12,4,5,2,40,32040
28,5,10,5,5,1,5,2,48,41564
28,5,9,5,8,4,5,2,40,44132
37,1,10,1,1,1,5,2,20,32514
72,1,16,1,1,1,5,2,6,91306
25,6,12,6,13,2,5,2,60,40315
37,5,9,5,2,5,5,1,40,22501
19,1,10,1,1,4,5,1,45,43547
31,5,11,5,13,4,5,1,38,32313
41,5,9,5,2,3,5,1,40,20667
31,5,6,5,14,1,5,2,40,186737
44,5,9,5,4,1,5,2,40,28274
20,5,10,5,5,2,3,2,47,35565
57,7,10,7,6,1,5,2,50,39315
26,5,9,5,9,2,5,1,12,35242
44,6,9,6,5,1,5,2,60,22441
29,3,9,3,12,2,5,2,40,47246
36,5,9,5,11,1,5,2,40,137602
40,5,11,5,4,1,5,2,40,103778
21,5,12,5,9,2,3,2,35,42009
21,5,10,5,4,2,5,2,70,32276
34,7,15,7,11,5,5,2,48,59545
24,5,13,5,5,4,5,1,15,46258
28,5,6,5,9,2,5,1,40,40403
35,5,9,5,15,4,5,2,50,44303
35,5,9,5,4,2,5,2,40,27342
38,8,13,8,5,2,5,1,40,47272
44,2,9,2,2,5,3,1,40,31835
39,5,13,5,7,6,5,1,40,80173
57,3,9,3,9,2,5,1,40,26957
19,5,10,5,13,4,5,1,40,22903
29,5,11,5,8,1,5,2,48,43136
23,5,9,5,8,3,3,2,40,44010
50,5,9,5,9,5,5,1,40,33809
51,7,10,7,4,1,5,2,20,35802
28,5,11,5,4,2,1,2,40,27012
44,5,13,5,13,1,5,2,60,47782
29,7,13,7,11,2,3,2,40,30048
31,5,9,5,15,2,5,2,45,46360
27,5,13,5,4,1,5,2,45,115889
34,5,13,5,5,1,5,2,45,42535
50,6,15,6,11,1,2,2,50,114910
27,5,10,5,7,1,5,2,40,194990
31,5,11,5,2,5,3,1,40,38890
46,5,12,5,4,1,5,2,40,134461
39,5,10,5,2,4,2,1,40,35183
40,5,13,5,13,1,5,2,55,60768
28,5,7,5,13,4,5,2,40,42835
18,5,9,5,13,4,5,1,40,45888
51,5,9,5,2,2,5,1,40,29239
58,6,9,6,13,2,5,2,50,41929
66,5,9,5,13,1,5,2,40,26297
36,7,9,7,9,6,2,1,20,20567
38,5,7,5,7,2,5,1,60,28843
25,5,12,5,5,4,5,2,40,35085
25,5,9,5,9,5,5,1,22,33337
90,5,7,5,7,4,5,2,40,47745
41,3,10,3,2,5,5,1,40,34210
34,1,9,1,1,5,3,1,40,39460
33,5,13,5,11,5,5,1,40,34751
33,5,9,5,2,2,5,1,40,38536
35,5,13,5,5,1,5,2,45,166398
39,7,9,7,4,4,3,1,20,48931
59,5,9,5,13,1,5,2,60,31079
19,5,10,5,14,4,5,2,16,22097
39,5,9,5,13,1,5,2,38,35562
19,1,10,1,1,4,5,2,40,29873
27,5,9,5,7,4,5,1,40,22989
52,5,4,5,4,1,5,2,40,35422
59,7,9,7,9,4,5,1,24,30524
28,5,10,5,4,5,5,1,40,33498
37,5,9,5,9,3,5,1,50,44265
50,1,6,1,1,1,5,2,99,45726
36,5,13,5,5,1,5,2,50,111358
34,5,13,5,11,1,5,2,60,146544
23,5,10,5,2,4,5,2,40,41238
19,1,7,1,1,4,5,1,30,38650
33,5,9,5,4,2,5,2,84,25566
27,3,14,3,11,4,5,2,52,48120
31,3,14,3,11,1,5,2,40,28237
21,5,6,5,8,1,5,2,36,26376
31,5,9,5,5,1,5,2,54,35151
59,5,9,5,7,1,5,2,40,106500
40,3,14,3,11,1,5,2,48,100733
19,5,7,5,7,4,5,2,40,23984
47,5,9,5,15,1,5,2,50,49283
34,5,13,5,4,5,5,2,40,47915
57,5,9,5,9,1,5,2,78,38215
51,3,5,3,15,1,3,2,40,36864
21,5,10,5,7,2,5,2,20,36977
30,6,10,6,13,1,5,2,50,49074
46,5,10,5,7,2,5,2,45,46828
40,5,13,5,13,2,5,1,45,44667
52,5,1,5,9,2,5,2,40,28938
23,5,13,5,13,2,2,2,50,20433
90,1,13,1,1,3,5,1,10,28674
25,5,9,5,2,2,5,1,50,39721
43,5,10,5,15,2,5,2,45,37364
38,8,10,8,12,5,1,1,40,177912
22,5,11,5,9,2,5,1,30,29389
33,3,13,3,2,2,5,1,40,33336
34,5,10,5,11,1,5,2,40,51300
65,5,11,5,15,1,5,2,20,26636
50,5,9,5,14,4,5,2,15,22194
29,5,13,5,13,2,5,2,48,33941
25,5,9,5,15,1,5,2,40,40950
54,5,10,5,2,2,5,1,40,49157
49,5,9,5,2,1,5,2,40,165245
44,5,10,5,8,1,5,2,40,20548
24,5,5,5,9,4,5,1,40,28510
25,5,13,5,13,2,5,2,38,35583
65,3,9,3,15,1,5,2,20,45689
56,7,9,7,5,1,3,2,45,27079
39,7,15,7,11,1,5,2,60,158443
23,5,13,5,11,4,5,1,40,38928
20,5,10,5,9,2,5,1,20,49800
24,5,3,5,4,5,5,2,40,30084
41,5,10,5,5,1,5,2,50,105055
40,6,10,6,6,1,5,2,50,47423
55,5,9,5,4,1,5,2,50,154398
38,5,9,5,2,5,5,1,48,42314
23,5,9,5,2,5,3,1,40,31449
44,5,13,5,5,1,5,2,50,45870
45,5,10,5,4,1,5,2,40,191259
20,7,10,7,2,4,5,1,12,42939
29,5,9,5,9,4,5,2,40,33258
43,8,9,8,12,1,5,2,40,44442
30,5,8,5,8,2,5,2,40,48946
28,8,10,8,2,2,5,1,38,46685
31,5,9,5,5,1,5,2,40,159635
52,5,9,5,4,5,5,1,40,36551
36,5,13,5,11,6,5,1,50,83587
38,5,9,5,4,1,5,2,45,34302
66,1,10,1,1,1,5,2,40,31935
63,7,11,7,6,1,5,2,40,44784
21,5,10,5,9,4,5,2,35,33762
33,8,9,8,2,2,5,2,40,48708
46,8,10,8,11,5,5,1,50,49161
20,1,10,1,1,4,5,2,20,21704
47,6,13,6,13,2,5,2,60,43787
33,5,16,5,11,1,5,2,55,109566
66,1,4,1,1,3,3,2,30,31237
20,5,10,5,2,4,5,1,30,49329
28,5,9,5,7,2,5,2,40,47513
46,5,9,5,10,5,5,1,28,48071
25,5,10,5,13,1,3,2,45,20688
37,5,9,5,4,4,5,2,40,41229
31,7,5,7,4,1,5,2,60,32493
49,5,9,5,4,1,5,2,40,44754
22,8,10,8,14,5,5,2,20,28974
52,5,11,5,9,6,5,1,20,107778
29,5,12,5,5,6,5,1,50,22547
18,5,7,5,9,4,5,1,20,23071
31,3,10,3,5,1,5,2,35,39563
23,5,10,5,9,2,2,1,35,49251
27,1,11,1,1,6,1,1,40,142262
54,7,6,7,13,1,5,2,65,46021
50,3,9,3,9,5,5,1,49,28024
46,5,14,5,14,1,5,2,40,134067
24,5,13,5,6,4,5,1,40,35783
17,1,7,1,1,4,5,1,18,48302
49,6,9,6,9,2,5,2,45,24937
54,3,9,3,4,1,5,2,40,98709
41,5,13,5,5,1,5,2,60,60823
49,5,9,5,2,1,5,2,40,22052
36,3,13,3,11,2,5,1,35,28503
23,5,9,5,15,4,3,2,40,43593
63,5,10,5,9,2,5,1,40,44999
67,5,9,5,13,1,5,2,40,136995
23,5,9,5,4,2,5,2,40,46369
22,5,13,5,11,4,5,2,40,44053
66,5,11,5,2,1,5,2,30,26100
25,5,7,5,4,1,5,2,50,38876
30,5,10,5,8,5,5,1,20,44440
35,5,9,5,15,1,5,2,40,38843
67,7,4,7,5,1,5,2,40,44518
30,5,8,5,4,2,3,2,40,36034
26,5,10,5,8,2,3,1,38,30846
34,5,9,5,8,1,5,2,40,32193
21,5,10,5,13,4,5,2,40,31110
18,5,8,5,4,4,5,2,10,38192
21,5,9,5,4,2,5,2,40,22193
76,6,5,6,11,1,5,2,40,32695
51,2,10,2,12,1,2,2,70,30084
26,5,9,5,8,6,5,1,56,27112
18,5,8,5,9,2,5,1,25,49465
18,1,7,1,1,4,5,2,40,34752
34,5,11,5,8,1,5,2,50,27319
59,5,9,5,5,2,5,1,40,33203
55,5,13,5,5,2,5,2,45,172335
33,7,10,7,6,2,5,2,72,20865
25,5,9,5,9,4,5,1,10,33435
48,5,9,5,8,2,5,1,10,25357
64,5,13,5,13,2,5,1,5,38298
47,3,14,3,11,2,5,1,45,80293
26,5,10,5,14,4,5,1,40,43294
36,5,12,5,11,1,5,2,48,188487
21,5,9,5,6,1,5,2,40,39717
54,1,4,1,1,2,5,1,25,33304
30,5,9,5,8,4,5,2,44,40155
41,7,9,7,4,2,5,2,40,35730
53,1,14,1,1,2,5,1,35,104943
34,5,10,5,13,3,3,2,30,40421
20,1,10,1,1,4,5,1,35,37018
24,5,6,5,13,2,5,2,49,21490
26,5,13,5,11,2,5,1,20,41799
25,5,9,5,2,2,5,1,48,49280
35,5,10,5,13,5,5,1,36,42763
41,5,10,5,4,2,5,2,40,132501
33,5,7,5,4,4,5,2,40,28472
18,5,10,5,9,4,5,1,25,48600
27,6,9,6,2,2,5,2,38,25742
32,5,9,5,9,5,5,1,35,33593
51,3,9,3,9,2,3,2,40,41479
38,5,11,5,2,5,3,1,40,37899
41,3,10,3,15,6,5,1,25,48695
26,5,10,5,4,1,5,2,40,21129
38,7,11,7,5,5,5,2,35,21333
54,5,5,5,5,1,5,2,45,107322
30,5,13,5,11,2,5,1,60,46103
31,5,10,5,5,5,5,1,30,36795
26,8,13,8,11,2,5,2,40,46660
75,7,16,7,11,1,5,2,3,46244
29,5,14,5,15,4,3,2,40,32524
61,5,9,5,5,1,5,2,50,171544
24,5,10,5,13,5,5,1,45,40564
22,1,8,1,1,2,5,2,30,20484
34,5,12,5,11,2,5,2,40,32447
42,5,10,5,4,4,5,2,40,24878
24,5,7,5,4,2,5,2,40,49925
42,7,12,7,13,1,5,2,40,29246
27,2,9,2,4,2,3,2,40,30039
39,3,13,3,11,6,5,1,50,172229
20,5,9,5,7,4,5,2,40,47381
51,5,7,5,9,2,3,1,40,46521
68,5,13,5,13,1,5,2,30,22648
28,2,9,2,8,4,5,2,48,22112
43,5,9,5,14,2,5,1,40,34625
35,5,10,5,4,2,5,2,40,33074
44,5,9,5,2,5,3,1,40,43615
41,5,13,5,7,2,5,2,40,42043
44,5,9,5,14,1,5,2,45,73409
20,5,9,5,2,3,5,1,40,46307
46,5,9,5,4,1,5,2,75,83732
27,7,12,7,15,1,5,2,70,84897
32,5,10,5,9,2,5,2,50,21652
46,5,10,5,13,2,5,2,50,48359
26,5,9,5,9,2,5,2,24,23750
20,5,10,5,2,4,2,1,40,49953
36,5,9,5,6,6,5,1,40,27828
49,5,13,5,5,1,5,2,40,78753
32,5,9,5,5,1,5,2,55,51840
32,5,13,5,11,1,5,2,50,84551
49,5,13,5,4,1,5,2,40,63877
36,5,9,5,15,2,5,2,45,46350
22,5,10,5,9,3,5,2,25,46951
52,2,9,2,2,2,5,1,40,49622
42,5,9,5,5,1,5,2,50,193266
22,1,10,1,1,4,5,2,40,49340
72,5,9,5,9,5,5,1,16,22016
30,3,13,3,11,2,5,1,40,25324
44,5,10,5,7,1,5,2,40,35507
23,5,13,5,13,2,5,1,45,39113
22,5,10,5,13,4,5,2,20,32996
59,5,13,5,2,5,5,2,60,22325
46,5,9,5,11,5,5,1,40,37007
30,5,11,5,7,1,5,2,40,26324
64,2,4,2,9,5,5,1,30,48570
31,5,10,5,13,6,3,1,40,27504
64,5,9,5,9,1,5,2,20,46685
45,5,9,5,8,4,5,1,40,32682
59,5,9,5,8,1,5,2,40,138033
32,5,9,5,2,3,3,1,40,22618
43,5,13,5,8,1,1,2,40,28196
66,1,6,1,1,2,5,1,20,37113
23,5,10,5,13,2,5,2,45,22925
49,7,9,7,4,1,5,2,40,41344
32,5,8,5,8,1,5,2,40,38374
49,5,11,5,5,5,5,1,40,44201
33,5,10,5,11,2,5,2,40,24526
28,5,15,5,11,2,5,1,85,23210
47,5,9,5,13,1,3,2,40,29412
41,5,9,5,9,4,5,2,40,33572
34,3,14,3,5,1,5,2,40,83015
25,5,9,5,9,2,5,1,35,48570
20,1,10,1,1,4,5,1,40,31752
21,5,10,5,13,2,5,1,15,49102
25,5,9,5,6,5,5,2,30,43066
46,5,5,5,9,1,5,2,40,32387
37,5,2,5,4,1,2,2,40,26777
41,5,10,5,4,1,5,2,56,179353
44,5,9,5,2,4,5,2,50,23738
30,5,9,5,14,1,5,2,40,67281
54,5,10,5,8,1,5,2,40,36078
35,7,9,7,6,1,5,2,99,46559
58,1,9,1,1,2,5,1,12,34582
21,5,10,5,14,4,5,1,25,45272
35,7,14,7,13,1,5,2,40,188239
35,5,15,5,11,1,5,2,80,100925
19,5,10,5,4,4,5,2,20,48045
48,5,9,5,5,2,5,1,40,35385
56,1,10,1,1,1,5,2,40,31061
65,7,10,7,4,2,5,1,35,26891
40,5,13,5,2,5,3,2,35,43719
26,5,9,5,2,2,5,1,40,24122
45,5,10,5,5,1,5,2,40,25798
26,5,10,5,4,4,5,2,40,41336
32,5,9,5,2,1,5,2,40,33615
35,5,13,5,5,2,5,2,50,137071
22,7,10,7,4,2,5,2,48,34684
37,5,11,5,11,4,5,1,38,39894
25,5,13,5,4,2,5,2,40,46218
64,5,2,5,15,1,5,2,53,34301
46,5,11,5,5,1,5,2,48,192558
30,5,9,5,7,4,5,2,27,49748
63,5,12,5,5,2,5,2,40,120422
51,3,9,3,12,1,5,2,40,197516
68,7,4,7,5,1,5,2,16,40009
36,5,16,5,11,1,5,2,50,33357
28,6,10,6,5,2,5,2,50,22613
41,3,10,3,13,1,5,2,40,39980
47,5,10,5,11,1,5,2,40,32522
22,5,10,5,9,5,3,1,30,21254
33,1,13,1,1,4,2,2,80,24902
34,6,15,6,11,1,5,2,40,81892
46,2,13,2,11,1,5,2,40,92494
28,5,10,5,2,4,5,1,40,31712
36,5,9,5,4,1,5,2,52,101098
18,5,10,5,13,4,5,1,20,41204
33,3,14,3,11,1,5,2,50,174017
51,5,9,5,15,1,5,2,60,191452
56,7,9,7,5,1,5,2,35,29594
54,5,9,5,2,5,5,1,40,28482
29,5,9,5,5,5,3,1,40,29629
40,5,10,5,7,2,1,1,84,47670
53,5,14,5,5,1,5,2,65,51381
22,5,9,5,7,4,5,2,35,21105
33,5,9,5,8,1,5,2,40,122075
28,5,9,5,15,2,5,2,50,39282
63,5,10,5,11,6,5,1,12,40896
53,2,16,2,11,1,5,2,60,179620
37,5,6,5,4,1,5,2,50,26344
50,2,10,2,5,5,5,2,40,28141
22,5,9,5,4,4,5,2,40,28194
40,2,12,2,2,2,5,1,40,48119
22,5,13,5,11,2,5,1,40,82465
21,5,10,5,11,4,5,2,40,20991
25,5,12,5,7,1,3,2,40,32246
20,5,10,5,4,2,5,1,40,39310
43,2,9,2,15,1,5,2,40,27480
29,5,11,5,5,5,5,1,50,24584
32,5,13,5,13,1,5,2,40,83659
42,5,14,5,13,1,5,2,50,75136
33,5,9,5,8,1,2,2,40,36882
27,5,10,5,5,6,5,1,40,166082
22,1,10,1,1,4,5,1,40,42233
29,5,10,5,8,1,5,2,38,28469
29,5,9,5,15,1,5,2,40,31411
20,5,10,5,5,4,5,1,20,27236
35,5,6,5,2,4,5,2,40,45884
31,7,13,7,11,1,5,2,50,170560
33,5,9,5,4,2,5,2,50,22155
67,5,10,5,5,1,5,2,40,24394
46,5,10,5,11,1,5,2,10,20752
45,5,5,5,8,6,5,1,40,142700
17,3,7,3,13,4,5,2,20,40596
35,5,13,5,5,1,5,2,70,130166
48,7,13,7,5,2,3,2,40,144171
49,5,9,5,8,2,3,1,40,33619
20,5,10,5,13,3,5,1,40,22693
27,5,9,5,8,1,5,2,46,25070
64,5,10,5,4,1,5,2,20,48632
53,2,10,2,4,2,3,2,40,34334
52,5,9,5,2,2,5,1,40,25234
29,5,9,5,4,1,5,2,55,38184
32,6,9,6,4,1,5,2,40,173453
48,7,13,7,11,6,5,1,20,133858
30,5,10,5,4,3,5,2,40,46288
34,5,9,5,9,1,5,2,20,24536
19,1,10,1,1,4,5,2,50,32438
39,5,9,5,11,2,5,2,50,31589
28,5,7,5,7,3,5,2,40,44162
17,5,8,5,13,2,5,1,10,22030
54,5,13,5,11,2,5,1,50,33912
24,5,10,5,13,4,5,2,40,29504
25,5,9,5,5,4,5,1,40,26938
25,5,7,5,9,5,5,1,12,22573
48,3,10,3,5,6,5,1,40,99485
24,5,13,5,13,4,5,1,40,42969
31,5,10,5,13,1,2,2,50,46371
47,5,10,5,4,1,5,2,40,156475
45,5,13,5,5,1,5,2,40,141714
19,5,10,5,2,4,5,1,25,39821
52,6,10,6,13,1,5,2,50,86065
52,5,9,5,2,1,5,2,40,33004
19,1,9,1,1,3,2,1,12,38659
60,5,9,5,15,1,5,2,28,34295
43,5,14,5,11,1,5,2,50,130875
24,5,12,5,9,4,5,1,30,25231
20,1,10,1,1,4,5,1,40,40690
51,5,9,5,2,2,5,1,40,23541
38,7,5,7,4,2,5,2,40,20942
21,5,10,5,2,4,5,1,10,49165
40,6,9,6,2,1,5,2,50,183239
54,5,10,5,5,5,5,1,40,36589
35,5,13,5,9,3,5,2,50,47380
52,5,7,5,8,5,3,2,40,36686
53,5,9,5,5,1,5,2,40,114154
56,1,10,1,1,2,3,1,40,31975
35,5,9,5,4,5,3,2,40,33022
43,7,10,7,13,5,5,1,42,43895
29,5,13,5,4,1,5,2,40,30530
29,5,9,5,15,1,1,2,65,48999
27,5,9,5,9,2,5,1,40,21475
58,5,13,5,2,1,5,2,40,32739
64,5,9,5,7,1,5,2,18,34272
53,5,9,5,2,6,3,1,32,49690
21,5,9,5,2,2,5,1,30,36091
40,7,12,7,5,2,5,2,30,32254
52,8,16,8,11,1,5,2,40,161091
38,5,11,5,14,2,5,2,50,33330
40,1,10,1,1,2,5,1,30,43319
39,5,9,5,5,1,5,2,40,26741
56,1,14,1,1,2,5,1,50,72119
68,5,16,5,11,1,5,2,55,54647
24,5,9,5,13,2,5,2,38,32958
40,6,15,6,11,1,5,2,50,161286
43,6,15,6,11,1,3,2,99,110345
38,5,13,5,5,2,5,1,70,26238
45,5,9,5,13,1,5,2,40,180288
18,5,7,5,8,4,5,2,55,28289
57,3,14,3,5,1,5,2,50,182932
49,5,9,5,9,2,3,1,35,31948
25,5,10,5,5,4,5,1,40,23364
52,2,10,2,2,2,5,2,40,43133
56,5,6,5,4,2,5,2,56,42214
26,6,10,6,13,2,5,2,48,44715
19,5,9,5,4,2,5,1,40,35585
25,6,13,6,2,4,2,1,40,21234
25,5,9,5,2,6,5,1,30,20175
21,5,9,5,13,3,5,2,45,25654
48,7,4,7,4,1,5,2,40,31656
33,8,14,8,11,1,5,2,60,47486
31,8,9,8,12,4,4,2,40,41667
26,7,9,7,6,5,5,2,65,43295
37,8,13,8,11,2,5,2,38,21849
29,1,10,1,1,5,5,1,30,31132
20,5,10,5,9,4,5,2,20,21509
28,5,10,5,13,1,4,2,60,37319
49,5,9,5,2,5,5,1,20,21182
73,1,6,1,1,2,5,2,4,49730
49,5,14,5,5,1,5,2,40,194189
51,5,10,5,11,6,5,1,40,149197
40,5,10,5,13,1,5,2,40,47294
24,5,11,5,8,4,5,1,40,31554
18,5,8,5,13,4,5,2,24,30103
41,5,6,5,15,1,3,2,40,151427
46,5,9,5,2,1,5,2,40,121037
46,5,9,5,2,6,5,1,40,23613
64,5,6,5,15,1,5,2,40,174072
50,7,15,7,11,1,5,2,40,173032
53,8,14,8,11,1,5,2,36,57464
21,5,9,5,4,2,5,2,40,44566
22,8,10,8,9,1,5,2,25,42959
37,5,13,5,5,5,5,1,45,126325
39,2,15,2,11,2,5,2,55,144207
30,5,13,5,13,1,2,2,40,32611
25,5,13,5,11,2,5,2,40,49744
26,5,10,5,5,5,3,1,40,38586
43,5,13,5,13,2,5,2,50,47432
59,5,9,5,2,5,5,1,60,48859
27,5,9,5,2,5,5,1,40,27759
55,5,6,5,4,1,3,2,40,93408
20,5,10,5,9,4,5,2,12,28317
25,5,11,5,11,2,5,1,36,46412
28,5,12,5,9,2,5,2,40,39836
29,5,13,5,13,2,5,2,50,48203
60,5,7,5,13,1,5,2,40,102502
37,3,13,3,11,6,5,1,50,124322
25,5,7,5,13,4,5,1,40,32734
27,5,10,5,4,1,5,2,60,43179
50,8,13,8,5,1,5,2,40,130771
41,7,10,7,6,1,5,2,70,42061
46,5,4,5,4,1,5,2,47,32926
35,5,11,5,9,5,3,1,40,29972
21,1,10,1,1,4,5,2,40,32160
35,1,7,1,1,2,5,1,60,20460
40,5,9,5,7,2,3,2,40,49863
49,5,13,5,5,1,5,2,40,165240
29,5,13,5,11,2,5,1,50,26982
43,3,13,3,11,5,5,1,40,39609
39,5,12,5,15,2,3,2,60,46589
35,5,9,5,7,4,5,2,60,45171
52,5,10,5,8,1,5,2,40,31602
25,5,10,5,7,2,3,2,40,41231
20,6,9,6,8,4,5,1,30,26412
46,5,10,5,9,5,5,1,10,41406
24,5,13,5,5,2,5,2,40,21179
29,5,13,5,4,3,2,2,30,48549
21,5,10,5,9,4,5,2,40,30210
37,2,13,2,5,3,5,1,50,27676
43,2,9,2,2,4,5,2,40,44144
19,5,9,5,2,2,5,1,26,31955
47,5,9,5,13,1,5,2,45,35901
61,5,9,5,15,1,5,2,45,127692
21,1,12,1,1,2,5,2,55,24786
35,5,9,5,9,1,5,2,60,40843
60,5,6,5,7,1,3,2,40,23673
27,5,10,5,2,2,5,1,40,37499
57,3,13,3,11,1,2,2,35,21336
56,5,2,5,4,1,5,2,40,21997
27,5,9,5,5,2,5,1,40,47211
47,5,4,5,8,6,3,1,35,47780
19,5,9,5,9,2,5,2,30,29768
28,7,8,7,9,5,5,1,30,26811
43,5,6,5,2,1,5,2,40,41258
63,3,10,3,5,2,5,1,35,31935
22,1,10,1,1,4,5,2,40,49531
25,5,9,5,7,4,2,1,40,40995
35,7,9,7,8,4,5,2,40,198117
20,5,9,5,7,4,5,1,40,20003
48,5,6,5,13,1,5,2,70,43731
30,3,13,3,11,2,3,1,40,36856
31,5,13,5,11,1,5,2,40,153301
20,5,9,5,13,4,2,1,24,25984
57,8,14,8,11,1,5,2,50,135923
41,5,11,5,2,6,5,1,44,164555
33,5,9,5,2,3,5,1,40,22210
27,5,11,5,6,1,5,2,40,39481
34,5,9,5,6,1,5,2,60,88128
22,5,6,5,4,2,5,2,30,23802
50,5,12,5,5,6,3,1,40,77733
40,7,13,7,11,1,5,2,45,163293
37,5,9,5,4,1,5,2,51,45815
40,1,12,1,1,2,5,2,40,20124
53,5,14,5,5,1,5,2,55,107188
38,7,10,7,8,1,5,2,40,173869
25,8,9,8,11,2,5,2,40,49985
51,5,9,5,4,1,3,2,40,21289
22,1,8,1,1,4,3,2,40,31107
18,5,10,5,9,4,5,2,16,29475
41,5,7,5,7,1,5,2,40,163427
33,5,9,5,2,5,5,1,40,20147
33,5,13,5,13,2,5,1,40,42458
67,8,10,8,15,1,5,2,40,39817
47,7,9,7,5,1,5,2,50,162597
24,5,10,5,8,2,5,2,40,34178
32,3,4,3,9,1,5,2,40,21855
29,5,9,5,9,5,5,1,40,28961
25,5,11,5,13,2,5,2,45,45094
33,5,10,5,2,2,5,1,40,22308
55,5,13,5,4,1,5,2,40,25940
31,5,10,5,13,1,5,2,40,79683
32,3,14,3,11,1,5,2,50,29237
18,5,9,5,12,4,5,2,3,49739
36,5,9,5,2,5,5,1,50,24453
58,5,9,5,2,2,5,1,27,29992
34,5,14,5,5,1,5,2,50,101017
19,5,7,5,7,2,5,2,40,42471
21,5,9,5,2,5,3,1,40,44962
36,6,9,6,6,2,5,2,50,30151
37,5,13,5,11,6,3,1,40,136216
43,5,9,5,8,6,3,1,21,29035
